File;Format;Size;names;files
File: Exempt Reporting Advisers, August 2022;Format:ZIP;Size:495.47 KB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia080122-exempt.zip;ia080122-exempt.zip
File: Registered Investment Advisers, August 2022;Format:ZIP;Size:3.39 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia080122.zip;ia080122.zip
File: Exempt Reporting Advisers, July 2022;Format:ZIP;Size:490.98 KB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia070122-exempt.zip;ia070122-exempt.zip
File: Registered Investment Advisers, July 2022;Format:ZIP;Size:3.37 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia070122.zip;ia070122.zip
File: Exempt Reporting Advisers, June 2022;Format:ZIP;Size:494.33 KB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia060122-exempt.zip;ia060122-exempt.zip
File: Registered Investment Advisers, June 2022;Format:ZIP;Size:3.36 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia060122.zip;ia060122.zip
File: Exempt Reporting Advisers, May 2022;Format:ZIP;Size:485.53 KB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia050222-exempt.zip;ia050222-exempt.zip
File: Registered Investment Advisers, May 2022;Format:ZIP;Size:3.33 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia050222.zip;ia050222.zip
File: Exempt Reporting Advisers, April 2022;Format:ZIP;Size:480.46 KB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia040122-exempt.zip;ia040122-exempt.zip
File: Registered Investment Advisers, April 2022;Format:ZIP;Size:3.31 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia040122.zip;ia040122.zip
File: Exempt Reporting Advisers, March 2022;Format:ZIP;Size:473.32 KB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia030122-exempt.zip;ia030122-exempt.zip
File: Registered Investment Advisers, March 2022;Format:ZIP;Size:3.28 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia030122.zip;ia030122.zip
File: Exempt Reporting Advisers, February 2022;Format:ZIP;Size:469.59 KB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia020722-exempt.zip;ia020722-exempt.zip
File: Registered Investment Advisers, February 2022;Format:ZIP;Size:3.26 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia020722.zip;ia020722.zip
File: Exempt Reporting Advisers, January 2022;Format:ZIP;Size:464.37 KB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia010322-exempt.zip;ia010322-exempt.zip
File: Registered Investment Advisers, January 2022;Format:ZIP;Size:3.25 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia010322.zip;ia010322.zip
File: Exempt Reporting Advisers, December 2021;Format:ZIP;Size:459.92 KB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia120121-exempt.zip;ia120121-exempt.zip
File: Registered Investment Advisers, December 2021;Format:ZIP;Size:3.31 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia120121.zip;ia120121.zip
File: Exempt Reporting Advisers, November 2021;Format:ZIP;Size:456.26 KB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia110121-exempt.zip;ia110121-exempt.zip
File: Registered Investment Advisers, November 2021;Format:ZIP;Size:3.25 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia110121.zip;ia110121.zip
File: Exempt Reporting Advisers, October 2021;Format:ZIP;Size:457.19 KB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia100421-exempt.zip;ia100421-exempt.zip
File: Registered Investment Advisers, October 2021;Format:ZIP;Size:3.25 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia100421.zip;ia100421.zip
File: Exempt Reporting Advisers, September 2021;Format:ZIP;Size:451.18 KB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia090121-exempt.zip;ia090121-exempt.zip
File: Registered Investment Advisers, September 2021;Format:ZIP;Size:3.23 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia090121.zip;ia090121.zip
File: Exempt Reporting Advisers, August 2021;Format:ZIP;Size:444.7 KB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia080221-exempt.zip;ia080221-exempt.zip
File: Registered Investment Advisers, August 2021;Format:ZIP;Size:3.21 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia080221.zip;ia080221.zip
File: Exempt Reporting Advisers, July 2021;Format:ZIP;Size:439.44 KB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia070121-exempt.zip;ia070121-exempt.zip
File: Registered Investment Advisers, July 2021;Format:ZIP;Size:3.18 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia070121.zip;ia070121.zip
File: Exempt Reporting Advisers, June 2021;Format:ZIP;Size:440.83 KB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia060121-exempt.zip;ia060121-exempt.zip
File: Registered Investment Advisers, June 2021;Format:ZIP;Size:3.15 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia060121.zip;ia060121.zip
File: Exempt Reporting Advisers, May 2021;Format:ZIP;Size:436.07 KB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia050321-exempt.zip;ia050321-exempt.zip
File: Registered Investment Advisers, May 2021;Format:ZIP;Size:3.17 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia050321.zip;ia050321.zip
File: Exempt Reporting Advisers, April 2021;Format:ZIP;Size:429.8 KB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia040521-exempt.zip;ia040521-exempt.zip
File: Registered Investment Advisers, April 2021;Format:ZIP;Size:3.13 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia040521.zip;ia040521.zip
File: Exempt Reporting Advisers, March 2021;Format:ZIP;Size:1.67 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia030121-exempt.zip;ia030121-exempt.zip
File: Registered Investment Advisers, March 2021;Format:ZIP;Size:11.79 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia030121.zip;ia030121.zip
File: Exempt Reporting Advisers, February 2021;Format:ZIP;Size:1.66 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia020121-exempt.zip;ia020121-exempt.zip
File: Registered Investment Advisers, February 2021;Format:ZIP;Size:11.76 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia020121.zip;ia020121.zip
File: Exempt Reporting Advisers, January 2021;Format:ZIP;Size:1.66 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia010521-exempt.zip;ia010521-exempt.zip
File: Registered Investment Advisers, January 2021;Format:ZIP;Size:11.73 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia010521.zip;ia010521.zip
File: Exempt Reporting Advisers, December 2020;Format:ZIP;Size:1.64 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia120220-exempt.zip;ia120220-exempt.zip
File: Registered Investment Advisers, December 2020;Format:ZIP;Size:11.75 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia120220.zip;ia120220.zip
File: Exempt Reporting Advisers, November 2020;Format:ZIP;Size:1.63 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia110220-exempt.zip;ia110220-exempt.zip
File: Registered Investment Advisers, November 2020;Format:ZIP;Size:11.72 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia110220.zip;ia110220.zip
File: Exempt Reporting Advisers, October 2020;Format:ZIP;Size:1.64 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia100120-exempt.zip;ia100120-exempt.zip
File: Registered Investment Advisers, October 2020;Format:ZIP;Size:11.68 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia100120.zip;ia100120.zip
File: Exempt Reporting Advisers, September 2020;Format:ZIP;Size:1.62 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia090220-exempt.zip;ia090220-exempt.zip
File: Registered Investment Advisers, September 2020;Format:ZIP;Size:11.64 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia090220.zip;ia090220.zip
File: Exempt Reporting Advisers, August 2020;Format:ZIP;Size:1.6 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia080320-exempt.zip;ia080320-exempt.zip
File: Registered Investment Advisers, August 2020;Format:ZIP;Size:11.62 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia080320.zip;ia080320.zip
File: Exempt Reporting Advisers, July 2020;Format:ZIP;Size:1.59 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia070120-exempt.zip;ia070120-exempt.zip
File: Registered Investment Advisers, July 2020;Format:ZIP;Size:11.56 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia070120.zip;ia070120.zip
File: Exempt Reporting Advisers, June 2020;Format:ZIP;Size:1.59 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia060120-exempt.zip;ia060120-exempt.zip
File: Registered Investment Advisers, June 2020;Format:ZIP;Size:11.57 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia060120.zip;ia060120.zip
File: Exempt Reporting Advisers, May 2020;Format:ZIP;Size:1.58 MB;https://www.sec.gov/files/node/add/data_distribution/ia050120-exempt.zip;ia050120-exempt.zip
File: Registered Investment Advisers, May 2020;Format:ZIP;Size:11.52 MB;https://www.sec.gov/files/node/add/data_distribution/ia050120.zip;ia050120.zip
File: Exempt Reporting Advisers, April 2020;Format:ZIP;Size:1.56 MB;https://www.sec.gov/files/node/add/data_distribution/ia040120-exempt.zip;ia040120-exempt.zip
File: Registered Investment Advisers, April 2020;Format:ZIP;Size:11.44 MB;https://www.sec.gov/files/node/add/data_distribution/ia040120.zip;ia040120.zip
File: Exempt Reporting Advisers, March 2020;Format:ZIP;Size:1.55 MB;https://www.sec.gov/files/node/add/data_distribution/ia030220-exempt.zip;ia030220-exempt.zip
File: Registered Investment Advisers, March 2020;Format:ZIP;Size:11.41 MB;https://www.sec.gov/files/node/241526/edit/ia030220.zip;ia030220.zip
File: Registered Investment Advisers, February 2020;Format:ZIP;Size:11.39 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia020320_2.zip;ia020320_2.zip
File: Exempt Reporting Advisers, February 2020;Format:ZIP;Size:1.54 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia020320-exempt.zip;ia020320-exempt.zip
File: Exempt Reporting Advisers, January 2020;Format:ZIP;Size:1.52 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia010220-exempt.zip;ia010220-exempt.zip
File: Registered Investment Advisers, January 2020;Format:ZIP;Size:11.35 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia010220.zip;ia010220.zip
File: Exempt Reporting Advisers, December 2019;Format:ZIP;Size:1.52 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia120219-exempt.zip;ia120219-exempt.zip
File: Registered Investment Advisers, December 2019;Format:ZIP;Size:11.39 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia120219.zip;ia120219.zip
File: Exempt Reporting Advisers, November 2019;Format:ZIP;Size:1.51 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia110119-exempt.zip;ia110119-exempt.zip
File: Registered Investment Advisers, November 2019;Format:ZIP;Size:11.37 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia110119.zip;ia110119.zip
File: Exempt Reporting Advisers, October 2019;Format:ZIP;Size:1.51 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia100119-exempt.zip;ia100119-exempt.zip
File: Registered Investment Advisers, October 2019;Format:ZIP;Size:11.35 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia100119.zip;ia100119.zip
File: Exempt Reporting Advisers, September 2019;Format:XLSX;Size:1.66 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia090319-exempt.xlsx;ia090319-exempt.xlsx
File: Registered Investment Advisers, September 2019;Format:XLSX;Size:11.76 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia090319.xlsx;ia090319.xlsx
File: Exempt Reporting Advisers, August 2019;Format:ZIP;Size:1.48 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia080119-exempt.zip;ia080119-exempt.zip
File: Registered Investment Advisers, August 2019;Format:ZIP;Size:11.29 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia080119.zip;ia080119.zip
File: Exempt Reporting Advisers, July 2019;Format:ZIP;Size:1.47 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia070119-exempt.zip;ia070119-exempt.zip
File: Registered Investment Advisers, July 2019;Format:ZIP;Size:11.23 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia070119.zip;ia070119.zip
File: Exempt Reporting Advisers, June 2019;Format:ZIP;Size:1.48 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia060319-exempt.zip;ia060319-exempt.zip
File: Registered Investment Advisers, June 2019;Format:ZIP;Size:11.21 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia060319-1.zip;ia060319-1.zip
File: Exempt Reporting Advisers, May 2019;Format:ZIP;Size:1.47 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia050119-exempt.zip;ia050119-exempt.zip
File: Registered Investment Advisers, May 2019;Format:ZIP;Size:11.15 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia050119.zip;ia050119.zip
File: Exempt Reporting Advisers, April 2019;Format:ZIP;Size:1.58 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia040119-exempt.zip;ia040119-exempt.zip
File: Registered Investment Advisers, April 2019;Format:ZIP;Size:12.22 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia040119.zip;ia040119.zip
File: Exempt Reporting Advisers, March 2019;Format:ZIP;Size:1.56 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia030119-exempt.zip;ia030119-exempt.zip
File: Registered Investment Advisers, March 2019;Format:ZIP;Size:12.19 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia030119.zip;ia030119.zip
File: Exempt Reporting Advisers, February 2019;Format:ZIP;Size:1.54 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia020119-2-exempt.zip;ia020119-2-exempt.zip
File: Registered Investment Advisers, February 2019;Format:ZIP;Size:12.14 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia020119-2.zip;ia020119-2.zip
File: Exempt Reporting Advisers, January 2019 - unavailable due to federal government shutdown;Format:ZIP;Size:261 BYTES;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia010119-exempt.zip;ia010119-exempt.zip
File: Registered Investment Advisers, January 2019 - unavailable due to federal government shutdown;Format:ZIP;Size:247 BYTES;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia010119.zip;ia010119.zip
File: Exempt Reporting Advisers, December 2018;Format:ZIP;Size:1.52 MB;https://www.sec.gov/files/investment/data/information-about-registered-investment-advisers-and-exempt-reporting-advisers/ia120318-exempt.zip;ia120318-exempt.zip
