SEC Region,Organization CRD#,SEC#,Firm Type,Primary Business Name,Legal Name,Main Office Street Address 1,Main Office Street Address 2,Main Office City,Main Office State,Main Office Country,Main Office Postal Code,Main Office Telephone Number,Main Office Facsimile Number,"Total number of offices, other than your Principal Office and place of business",Mail Office Street Address 1,Mail Office Street Address 2,Mail Office City,Mail Office State,Mail Office Country,Mail Office Postal Code,SEC Current Status,SEC Status Effective Date,Jurisdiction Notice Filed-Effective Date,Latest ADV Filing Date,Form Version,Website Address,1M,1N,1O,"1O - If yes, approx. amount of assets",1P,2B(1),2B(2),2B(3),3A,3A-Other,3B,3C-State,3C-Country,6A(1),6A(2),6A(3),6A(4),6A(5),6A(6),6A(7),6A(8),6A(9),6A(10),6A(11),6A(12),6A(13),6A(14),6A(14)-Other,6B(1),6B(2),6B(3),7A(1),7A(2),7A(3),7A(4),7A(5),7A(6),7A(7),7A(8),7A(9),7A(10),7A(11),7A(12),7A(13),7A(14),7A(15),7A(16),7B,10A,11,11A(1),11A(2),11B(1),11B(2),11C(1),11C(2),11C(3),11C(4),11C(5),11D(1),11D(2),11D(3),11D(4),11D(5),11E(1),11E(2),11E(3),11E(4),11F,11G,11H(1)(a),11H(1)(b),11H(1)(c),11H(2)
PLRO,157216,802-118697,ERA,"PROPERTY INVESTMENT ADVISORS, INC.","PROPERTY INVESTMENT ADVISORS, INC.",7202 GLEN FOREST DRIVE,SUITE 100,RICHMOND,VA,United States,23226,(804) 644-4473,(804) 644-4477,0,7202 GLEN FOREST DRIVE,SUITE 100,RICHMOND,VA,United States,23226,ERA - Active,4/10/2020,,3/18/2022,Oct-21,HTTPS://WWW.LINKEDIN.COM/COMPANY/1829701/,N,N,N,,,N,Y,N,Corporation,,DECEMBER,VA,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
CHRO,290177,802-112056,ERA,"AUXO INVESTMENT PARTNERS, LLC","AUXO INVESTMENT PARTNERS, LLC","146 MONROE CENTER NW,",SUITE 1125,GRAND RAPIDS,MI,United States,49503,616-980-9810,,1,,,,,,,ERA - Active,10/20/2017,,3/30/2022,Oct-21,HTTP://WWW.AUXOPARTNERS.COM/,N,N,N,,,N,N,Y,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
NYRO,315444,802-122176,ERA,"TETRAHEDRON CAPITAL, LP","TETRAHEDRON CAPITAL, LP",,,,,,,646-330-0393,,0,,,,,,,ERA - Active,7/27/2021,,3/27/2022,Oct-21,,N,N,N,,,N,Y,N,Limited Partnership,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HQ,314119,802-121069,ERA,SPEEDUP,SPEEDUP LTD,84 HANASI YITZHAK BEN ZVI,,HERZLIYA,,Israel,4639984,09-373-0069,,0,,,,,,,ERA - Active,3/31/2021,,3/31/2021,Mar-20,https://www.facebook.com/Disruptive-Technologies-Venture-Capital-1923716637857531/,Y,N,N,,,Y,N,N,Other (specify),LIMITED COMPANY,DECEMBER,,Israel,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
CHRO,162086,802-77887,ERA,"SWMF LIFE SCIENCE FUND GP, LLC","SWMF LIFE SCIENCE FUND GP, LLC",241 EAST MICHIGAN AVENUE,,KALAMAZOO,MI,United States,49007-3909,269-553-9588,269-553-6897,0,PO BOX 50827,,KALAMAZOO,MI,United States,49005-0827,ERA - Active,3/28/2013,,2/18/2021,Mar-20,HTTP://WWW.SOUTHWESTMICHIGANFIRST.COM/,N,N,N,,,Y,Y,N,Limited Liability Company,,DECEMBER,MI,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
CHRO,161979,802-76778,ERA,"CASTLE CREEK PARTNERS, LLC","CASTLE CREEK PARTNERS, LLC",111 WEST JACKSON BLVD,SUITE 2220,CHICAGO,IL,United States,60604-3523,312-692-5000,312-692-5080,0,,,,,,,ERA - Active,6/4/2012,,3/30/2022,Oct-21,,N,N,N,,,N,Y,N,Limited Liability Company,,DECEMBER,IL,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,N
NYRO,300956,802-114994,ERA,BLACKBOX GROUP LLC,BLACKBOX GROUP LLC,,,,,,,646-506-3680,,0,,,,,,,ERA - Active,3/13/2019,,2/25/2022,Oct-21,,N,N,N,,,N,Y,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
LARO,309765,802-119238,ERA,"UP PARTNERS MANAGEMENT COMPANY, LLC","UP PARTNERS MANAGEMENT COMPANY, LLC",2828 DONALD DOUGLAS LOOP N.,SUITE 101,SANTA MONICA,CA,United States,90405,833-410-0800,,0,,,,,,,ERA - Active,7/7/2020,,3/17/2022,Oct-21,https://www.up.partners/,N,N,N,,,Y,Y,N,Limited Liability Company,,DECEMBER,DE,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
LARO,316510,802-122711,ERA,"TRANSCEND CAPITAL MANAGEMENT, LLC","TRANSCEND CAPITAL MANAGEMENT, LLC","15635 ALTON PARKWAY, SUITE 117",,IRVINE,CA,United States,92618,949-336-5630,,0,,,,,,,ERA - Active,10/18/2021,,3/28/2022,Oct-21,,N,N,N,,,N,N,Y,Limited Liability Company,,DECEMBER,CA,United States,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HQ,310214,802-120260,ERA,468 MANAGEMENT GMBH,468 MANAGEMENT GMBH,WIELANDSTR. 26/26A,,BERLIN,,Germany,10707,0049 1743338861,,1,,,,,,,ERA - Active,1/4/2021,,5/31/2022,Oct-21,https://www.linkedin.com/company/468-capital/,Y,N,N,,,Y,N,N,Other (specify),GMBH - GERMAN EQUIVALENT TO  LLC,DECEMBER,,Germany,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
HQ,313308,802-120930,ERA,TRILL IMPACT ADVISORY GMBH,TRILL IMPACT ADVISORY GMBH,HOFSTATT 1,,MUNICH,,Germany,80331,49 17 28628779,,0,,,,,,,ERA - Active,3/25/2021,,3/29/2022,Oct-21,https://www.linkedin.com/company/trill-impact/,N,N,N,,,N,Y,N,Other (specify),GERMAN LIMITED COMPANY,DECEMBER,,Germany,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
